Group 1,Group 2,H,p-value,q-value
Baao (n=3),Bato (n=4),1.9999999999999964,0.15729920705028153,0.4718976211508446
Baao (n=3),Buhi (n=4),0.49999999999999645,0.47950012218695504,0.7192501832804326
Bato (n=4),Buhi (n=4),0.0,1.0,1.0
