	W	Reject null hypothesis
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Fragilariales	179	True
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae;Zygnemophyceae_X	165	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Nephroselmidophyceae;Nephroselmidales	162	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Watanabea-Clade	134	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X;Fungi_XX	133	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea;Limnofilida	131	False
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales	130	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Aulacoseirales	114	False
Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X	112	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Pseudophyllomitidae	97	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygophlyctidales	92	False
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptophyceae_X	88	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales	84	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Achnanthales	81	False
Eukaryota;Archaeplastida;Rhodelphidia;Rhodelphidia_X;Rhodelphea;Rhodelphida	79	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes	76	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa;Vampyrellida	73	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;	71	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae;Xanthophyceae_X	69	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X	61	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Hydrurales	58	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycota_X	55	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Rhizophydiales	54	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Licmophorales	52	False
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsea_X;Perkinsea_XX	50	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae;Pedinomonadales	49	False
