Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato	Buhi	Buhi	Buhi	Buhi	Buhi
Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea;Colpodellida	701.0	835.5	970.0	1488.0	2006.0	454.0	529.0	633.5	1166.75	2528.0	542.0	660.5	2465.5	5090.75	7670.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes	1.0	1.0	1.0	1.0	1.0	24.0	31.5	41.5	49.25	50.0	38.0	39.5	40.5	43.25	50.0
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsida;Perkinsida_X	1155.0	1270.5	1386.0	1690.5	1995.0	211.0	235.75	250.0	431.75	959.0	656.0	841.25	905.0	1126.0	1783.0
Eukaryota;TSAR;;;;	60.0	86.5	113.0	148.0	183.0	8.0	23.0	48.5	84.25	130.0	14.0	20.75	28.0	37.0	49.0
Eukaryota;Obazoa;Opisthokonta;;;	4.0	22.0	40.0	54.5	69.0	15.0	73.5	106.5	180.0	360.0	104.0	119.0	151.5	180.25	184.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae;Pedinomonadales	9705.0	10159.0	10613.0	18419.5	26226.0	64.0	265.0	649.5	2490.25	7060.0	1.0	1.0	16.5	32.5	34.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales	1275.0	2379.5	3484.0	3762.5	4041.0	1361.0	1442.75	1493.5	1640.0	2009.0	326.0	345.5	401.5	456.75	474.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Licmophorales	1.0	1.0	1.0	5.5	10.0	1.0	1.0	1.0	2.75	8.0	89.0	115.25	126.0	136.5	162.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Sphaeropleales	490.0	519.0	548.0	668.5	789.0	1276.0	1566.25	1695.5	1877.75	2327.0	4311.0	5483.25	7681.0	9539.75	9695.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;OLIGO4	1.0	1.0	1.0	3.5	6.0	1.0	1.0	4.0	7.25	8.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;	403.0	1101.0	1799.0	2294.0	2789.0	55.0	107.5	126.5	162.5	266.0	108.0	193.5	223.5	238.25	278.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales	1.0	1.0	1.0	5.0	9.0	2252.0	6302.75	11409.5	16318.25	19775.0	306.0	1426.5	2244.5	3444.5	5711.0
Eukaryota;TSAR;Rhizaria;Rhizaria_X;Rhizaria_XX;Aquavolonida	1.0	2.5	4.0	4.5	5.0	1.0	1.0	1.0	2.5	7.0	1.0	1.0	5.0	9.25	10.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-10	231.0	432.0	633.0	765.5	898.0	342.0	492.0	570.5	676.0	907.0	555.0	1113.0	1338.0	1529.5	1987.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;	1.0	1.0	1.0	7.5	14.0	1.0	10.0	15.5	24.0	42.0	14.0	15.5	25.5	39.5	53.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	7.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;;;	443.0	523.5	604.0	1169.0	1734.0	363.0	458.25	497.0	567.5	758.0	322.0	326.5	332.0	357.0	420.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chromulinales	757.0	922.5	1088.0	1219.0	1350.0	31.0	63.25	472.5	897.75	978.0	526.0	848.5	1116.5	1295.5	1351.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida	7.0	18.0	29.0	47.0	65.0	17.0	21.5	58.5	112.25	167.0	409.0	439.0	472.5	503.0	524.0
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea;Prorodontida	175.0	179.0	183.0	381.5	580.0	126.0	159.0	191.5	270.25	442.0	170.0	192.5	206.5	230.5	283.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Naviculales	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.5	10.25	17.0	9.0	11.25	12.5	13.5	15.0
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Craspedida	672.0	702.5	733.0	981.0	1229.0	1.0	16.75	64.5	150.25	280.0	411.0	423.75	441.0	488.25	591.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Goniomonadales	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.5	10.25	17.0	47.0	51.5	64.5	90.25	133.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea	1.0	4.5	8.0	396.5	785.0	7.0	112.75	388.0	1076.25	2421.0	11.0	139.25	1590.5	3907.0	6631.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Cladochytriales	1.0	1.0	1.0	12.5	24.0	1.0	1.0	1.0	2.5	7.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales	1.0	4.5	8.0	18.5	29.0	38.0	146.75	199.5	268.0	424.0	196.0	285.25	368.0	471.5	623.0
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3;Stramenopiles_X-Group-3_X	1.0	1.0	1.0	1.0	1.0	1.0	19.75	26.5	27.75	30.0	50.0	72.5	86.0	108.0	156.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Gastrotricha;Gastrotricha_X	1.0	8.0	15.0	30.5	46.0	1.0	2.5	4.0	28.5	99.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16.0	25.75	29.0	32.25	42.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Polyphagales	1.0	9.0	17.0	28.0	39.0	1.0	1.0	1.0	10.75	40.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12;	1.0	1.0	1.0	4.0	7.0	16.0	25.75	34.5	43.75	55.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Paraphysomonadales	135.0	189.0	243.0	298.5	354.0	60.0	118.5	141.5	161.25	210.0	267.0	408.0	503.5	563.0	596.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida;Raphidista	36.0	69.0	102.0	131.0	160.0	1.0	7.0	11.0	15.0	21.0	49.0	70.75	84.0	91.25	95.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Rotifera;Rotifera_X	25.0	26.0	27.0	243.0	459.0	623.0	1299.5	2401.0	3584.25	4506.0	116.0	125.0	144.5	219.0	393.0
Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X	1.0	1.0	1.0	1.0	1.0	107.0	143.75	313.5	663.25	1240.0	1.0	19.0	32.5	99.25	277.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Dolichomastigales	8.0	10.5	13.0	16.5	20.0	1.0	1.0	9.0	21.0	33.0	73.0	75.25	80.5	85.75	88.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Litostomatea_X	167.0	192.0	217.0	272.5	328.0	111.0	193.5	365.0	670.0	1153.0	198.0	212.25	224.5	274.5	402.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X	134.0	168.0	202.0	222.0	242.0	271.0	296.5	317.5	361.75	457.0	2060.0	2495.75	3151.5	3758.5	4048.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Spongomonadida	1.0	2.5	4.0	6.0	8.0	1.0	1.0	2.5	4.25	5.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Rhizophydiales	6.0	11.0	16.0	40.0	64.0	79.0	113.5	152.5	184.0	196.0	914.0	973.25	1012.5	1080.25	1225.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae;Synchromophyceae_X	103.0	121.0	139.0	158.0	177.0	11.0	15.5	20.5	40.0	88.0	15.0	18.75	20.5	30.0	57.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Rozellomycota;Rozellomycota_X	80.0	114.0	148.0	177.5	207.0	8.0	25.25	40.0	62.5	103.0	23.0	29.75	33.0	49.5	96.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	3.0	9.0	15.0	20.75	26.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida;Pterista	34.0	42.5	51.0	73.5	96.0	1.0	1.0	12.0	28.0	43.0	1.0	6.25	9.0	10.25	11.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;	105.0	163.0	221.0	231.0	241.0	1.0	5.5	9.5	14.75	23.0	19.0	36.25	43.5	57.75	96.0
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Centroplasthelida_XX;Centroplasthelida_XXX	10.0	16.5	23.0	32.0	41.0	1.0	1.0	1.0	3.75	12.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina	1.0	1.0	1.0	6.5	12.0	1.0	1.0	2.0	4.25	8.0	1.0	1.0	2.5	5.5	10.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecales	5.0	12.5	20.0	30.5	41.0	13.0	13.75	23.0	35.25	45.0	155.0	182.75	215.5	240.5	245.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;	1023.0	1167.5	1312.0	1970.5	2629.0	891.0	999.0	1139.0	1563.5	2525.0	1.0	132.25	180.0	272.0	536.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Gromochytriales	1.0	1.0	1.0	8.0	15.0	7.0	207.25	299.5	393.0	597.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2	1.0	3.5	6.0	7.5	9.0	11.0	53.75	68.5	86.25	138.0	22.0	28.75	56.5	82.75	85.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia	1.0	15.5	30.0	46.0	62.0	1.0	52.75	111.0	390.25	1105.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	9.75	27.0	1.0	7.75	13.0	17.25	21.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae;Dictyochophyceae_X	136.0	180.5	225.0	252.0	279.0	35.0	62.0	77.0	142.75	322.0	74.0	95.75	119.5	139.5	150.0
