Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Agri	Agri	Agri	Agri	Agri	Center	Center	Center	Center	Center	Resid	Resid	Resid	Resid	Resid	Tilap	Tilap	Tilap	Tilap	Tilap	Tipal	Tipal	Tipal	Tipal	Tipal	Tribu	Tribu	Tribu	Tribu	Tribu
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Acidimicrobiia	549.0	549.0	549.0	549.0	549.0	994.0	1409.0	1824.0	2346.5	2869.0	3231.0	3342.75	3454.5	3566.25	3678.0	1066.0	1066.0	1066.0	1066.0	1066.0	1993.0	1993.0	1993.0	1993.0	1993.0	293.0	734.5	1176.0	1885.0	2594.0
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X;Cyanophyceae	9527.0	9527.0	9527.0	9527.0	9527.0	6590.0	8852.5	11115.0	11501.5	11888.0	6337.0	8417.5	10498.0	12578.5	14659.0	12126.0	12126.0	12126.0	12126.0	12126.0	6850.0	6850.0	6850.0	6850.0	6850.0	6466.0	6612.0	6758.0	9149.0	11540.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;	1038.0	1038.0	1038.0	1038.0	1038.0	175.0	183.0	191.0	1103.0	2015.0	226.0	264.5	303.0	341.5	380.0	177.0	177.0	177.0	177.0	177.0	203.0	203.0	203.0	203.0	203.0	40.0	132.0	224.0	522.5	821.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Actinobacteria_XX	5963.0	5963.0	5963.0	5963.0	5963.0	6448.0	7348.0	8248.0	9097.5	9947.0	5681.0	6786.75	7892.5	8998.25	10104.0	6177.0	6177.0	6177.0	6177.0	6177.0	9771.0	9771.0	9771.0	9771.0	9771.0	5319.0	5871.0	6423.0	7934.0	9445.0
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas;Cryptophyceae:plas	548.0	548.0	548.0	548.0	548.0	12.0	37.5	63.0	604.5	1146.0	46.0	121.25	196.5	271.75	347.0	716.0	716.0	716.0	716.0	716.0	5.0	5.0	5.0	5.0	5.0	87.0	153.5	220.0	435.0	650.0
Eukaryota;;;;	9.0	9.0	9.0	9.0	9.0	33.0	57.0	81.0	111.5	142.0	16.0	32.75	49.5	66.25	83.0	205.0	205.0	205.0	205.0	205.0	126.0	126.0	126.0	126.0	126.0	22.0	54.0	86.0	100.0	114.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Pedinophyceae:plas	1158.0	1158.0	1158.0	1158.0	1158.0	12.0	31.0	50.0	807.0	1564.0	12.0	140.5	269.0	397.5	526.0	137.0	137.0	137.0	137.0	137.0	1.0	1.0	1.0	1.0	1.0	9.0	12.0	15.0	2220.0	4425.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea	7.0	7.0	7.0	7.0	7.0	1.0	7.5	14.0	17.5	21.0	8.0	27.5	47.0	66.5	86.0	8.0	8.0	8.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.5	6.0
Bacteria;CCD;Chloroflexi;Chloroflexi_X;Chloroflexia	332.0	332.0	332.0	332.0	332.0	190.0	290.5	391.0	404.0	417.0	122.0	181.0	240.0	299.0	358.0	336.0	336.0	336.0	336.0	336.0	382.0	382.0	382.0	382.0	382.0	238.0	268.5	299.0	316.5	334.0
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito;Embryophyceae:mito	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	47.5	94.0	14.0	24.0	34.0	44.0	54.0	50.0	50.0	50.0	50.0	50.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	8.5	14.0
