# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-E;	0.0	0.0	0.0	0.0003335218456808921
Eukaryota;Alveolata;Apicomplexa;Colpodellidea;Colpodellida;Alphamonaceae;Aphamonas	0.008302102415004285	0.0113685578172369	0.02795778559526014	0.002987195661315816
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Spizellomycetales-and-Rhizophlyctidales	0.0	0.0	0.0	0.0003625237453053175
Eukaryota;Alveolata;;;;;	0.005814832865569803	0.004366969828208459	0.002345244707770166	0.005017328635025594
Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystidae;Raphidiophrys	0.0026721341781086668	0.00063158654540205	0.0015583533913472814	0.0001160075984977016
Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3;Stramenopiles_X-Group-3_X;Stramenopiles_X-Group-3_XX;Stramenopiles_X-Group-3_XXX	0.0	0.0	0.0	0.0003770246951175302
Eukaryota;Opisthokonta;;;;;	0.0013780817773893753	0.00041504258697848997	0.0008794667654138123	0.002856687113005902
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlamydomonadales_XX	0.007747508528981732	0.015915980944131658	0.0084397950996729	0.004045764997607343
Eukaryota;Archaeplastida;Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas	0.15916844528847285	0.18321423415620036	0.3686508671233722	0.00419077449572947
Eukaryota;;;;;;	0.04082147118632674	0.01571748231557673	0.02389989508115781	0.02605820681254622
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C1;Salpingoecidae_Group_C1_X	0.012436347747172411	0.0084813050382561	0.005415663765969265	0.0001160075984977016
Eukaryota;Opisthokonta;Fungi;;;;	0.0017141992840697107	0.0006857225350079399	0.002082947602295871	0.025434665970621075
Eukaryota;Archaeplastida;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidales_X;Nephroselmis	0.0	0.0	0.0	0.02014181928916344
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Watanabea-Clade;Watanabea-Clade_X;	0.0	0.0	7.714620749243968e-05	0.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Neochlorosarcina	0.006789573634942776	0.00691136133968529	0.004073319755600814	0.0018271196763388002
Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Cryptomonas	0.03841823101356234	0.0007759491843510899	0.001681787323335185	0.02755180464320413
Eukaryota;Alveolata;Perkinsea;Perkinsida;Perkinsida_X;Perkinsida_XX;Perkinsida_XXX	0.020704838411508664	0.01106178720947019	0.012621119545763131	0.0033207175069967084
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Halteriidae;Halteria	0.012990941633194964	0.00276093546990039	0.005739677837437511	0.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Rhyzophidiales_X	0.0010587701460430567	9.022664934315e-05	0.0007560328334259088	0.002610170966198286
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia	0.0033443691914693376	0.00102858380251191	0.0053539467999753135	0.014138426066907383
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycotina_X;Chytridiomycotina_XX	0.0	0.0	0.0	0.00305970041037688
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Scenedesmus	0.0014116935280574089	0.00467374043597517	0.001650928840338209	0.0023346529197662445
Eukaryota;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-10;Novel-clade-10_X;Novel-clade-10_XX	0.015175705426617146	0.0041504258697849	0.009720422144047398	0.008671567987703195
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;	0.011528830479135506	0.020716038689187238	0.012235388508300932	0.0077435071997215815
Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Centroheliozoa_XX;Centroheliozoa_XXX;Centroheliozoa_XXXX	0.0005377880106885367	0.00016240796881767	0.00033944331296673454	0.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;Nerada	0.001764616910071761	0.00034286126750396995	0.001604641115842745	0.0015516016299067588
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Oocystaceae	0.00018486462867418449	0.0	0.0	0.0006815446411739969
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Chrysophyceae_Clade-C_X	0.05618204124161807	0.13055796159953803	0.06491081898413874	0.01460245646089819
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Chlorella	0.01483958791993681	0.01221668832106251	0.006449422946367957	0.0135873899740433
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae;Eocercomonas	0.0003865351326823858	0.00010827197921177999	0.0003548725544652225	0.0
