# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK	Bato_Resid_EUK	Bato_Tilap_EUK	Bato_Tribu_EUK	Buhi_Center_EUK	Buhi_Resid_EUK	Buhi_Tilap_EUK	Buhi_Tribu_EUK
Eukaryota;TSAR	0.5327107496108852	0.4229668324448102	0.41042675206673124	0.6103033359752144	0.3659376591353756	0.6691315484539855	0.5290799988460317	0.6045545319847968	0.6638780472199117	0.5438428798153224	0.5780747907765105
Eukaryota;Archaeplastida	0.34146708841693024	0.5373179720204658	0.5342071944589261	0.1782116867209453	0.4641660636273485	0.15473867170823932	0.25701756916596946	0.22041486826000128	0.15229701196493697	0.23919708555763958	0.12456301423072849
Eukaryota;Obazoa	0.056049271141905575	0.021217217073956133	0.024607134877485663	0.15107716694286333	0.09134035539117151	0.10506495090565347	0.13768283183798286	0.1421439154802551	0.1284631134429586	0.18024094647237052	0.2446414068293372
Eukaryota;	0.018962025740154976	0.011950338115853876	0.018783049080211514	0.023632826572519635	0.0069818552169601455	0.03360370799536501	0.039119522257161816	0.01752238613670038	0.022666197453451917	0.024329101139806665	0.016490695292912885
Eukaryota;Cryptista	0.04133822028083212	0.004060968192064117	0.005526178595367543	0.031428777289430075	0.06993916003323417	0.025980362261389278	0.024608372039350315	0.006119951040391677	0.023146074604901146	0.0034807387101428366	0.02789646527066634
;	0.0015397231845492125	0.0005545815592686679	0.0030088627392567215	0.003415231644931191	0.00033502184342419124	0.007333658596084649	0.006620892594409024	0.0036880757585518262	0.004334890268091369	0.005825277737700188	0.003796037995691938
Eukaryota;Haptista	0.0055061839969205535	0.0016458549500876596	0.0028152230580174276	0.0002449744217883133	0.00014740961110664414	0.0006403610416539611	0.0007789285405187087	0.001513882625781099	0.0013756478341544565	0.0009919203578127255	0.0017479430770860553
Eukaryota;CRuMs	0.001640139913976335	0.000286235643493506	0.00046175616295523943	0.00033143598241948267	0.0004288279595829648	0.0021650301884491067	0.004024464126013328	0.0038008116987695677	0.003807025401497217	0.0018034915596595008	0.0025777746389349905
Eukaryota:plas;Archaeplastida:plas	0.00010041672942712255	0.0	0.00013405824085797275	0.0	0.0	0.00010672684027566018	0.0	0.0	0.0	0.0	0.0
Eukaryota;Amoebozoa	6.694448628474838e-05	0.0	0.0	0.0	0.0	9.148014880770872e-05	0.0	0.00019326161180184241	0.0	0.00028855864954552014	0.0
Eukaryota:nucl;Cryptista:nucl	0.0006192364981339225	0.0	2.979072019066061e-05	0.0012104618488363716	0.0007236471817962531	0.001143501860096359	0.0010674205925626748	0.0	3.199181009661527e-05	0.0	0.00021187188813164308
Eukaryota;Excavata	0.0	0.0	0.0	0.000144102601051949	0.0	0.0	0.0	4.8315402950460604e-05	0.0	0.0	0.0
