	W	Reject null hypothesis
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Nephroselmidophyceae	98	True
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae	97	True
Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X	81	False
Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP	78	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista	76	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae	71	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea	55	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa	49	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae	47	False
Eukaryota;Archaeplastida;Rhodelphidia;Rhodelphidia_X;Rhodelphea	47	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae	43	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota	34	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pedinophyceae	32	False
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsea_X	30	False
Eukaryota;TSAR;Alveolata;Ciliophora;Colpodea	30	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae	26	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes	24	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea	23	False
Eukaryota;TSAR;Alveolata;Colponemidia;Colponemidia_X	22	False
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea	19	False
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Centroplasthelida_XX	19	False
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-3	19	False
Eukaryota;TSAR;Stramenopiles;Stramenopiles_X;Stramenopiles_XX	18	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae	17	False
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsida	17	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae	17	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Phaeothamniophyceae	16	False
Eukaryota;;;;	16	False
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida	16	False
Eukaryota;Amoebozoa;;;	16	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae	15	False
Eukaryota;Obazoa;Opisthokonta;Pluriformea;Pluriformea_X	15	False
Eukaryota;TSAR;Rhizaria;Cercozoa;	15	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa	15	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae	14	False
Eukaryota;TSAR;;;	14	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Cercozoa_X	14	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea	14	False
Eukaryota;Obazoa;Opisthokonta;Fungi;	14	False
Eukaryota;TSAR;Alveolata;;	14	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Rotifera	13	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae	13	False
Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Echinamoebida	13	False
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea	13	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae	13	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Hyphochytriomyceta	13	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas	13	False
Eukaryota;Amoebozoa;Evosea;Evosea_X;Variosea	12	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea	12	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Novel-clade-10-12	12	False
Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X;Collodictyonidae_XX	12	False
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea	11	False
;;;;	10	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Dermocystida	10	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae	10	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Aphelidiomycota	10	False
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea	9	False
Eukaryota;Archaeplastida;;;	9	False
Eukaryota;Obazoa;Opisthokonta;Filasterea;Filasterea_X	9	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca	9	False
Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl	9	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae	9	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa	8	False
Eukaryota;Archaeplastida;Glaucophyta;Glaucophyta_X;Glaucocystophyceae	8	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Klebsormidiophyceae	8	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea	8	False
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae	8	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Rozellomycota	8	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Raphidophyceae	8	False
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea	8	False
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea	7	False
Eukaryota;TSAR;Alveolata;Ciliophora;Nassophorea	7	False
Eukaryota;Excavata;Discoba;Discoba_X;Discoba_XX	7	False
Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia	7	False
Eukaryota;TSAR;Alveolata;Alveolata_X;Alveolata_XX	7	False
Eukaryota;TSAR;Stramenopiles;Gyrista;	7	False
Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia	6	False
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea	6	False
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	6	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota	6	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota	6	False
Eukaryota;TSAR;Rhizaria;Rhizaria_X;Rhizaria_XX	6	False
Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea	5	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Gastrotricha	4	False
Eukaryota;Obazoa;Opisthokonta;;	4	False
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea_1	3	False
Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea	3	False
Eukaryota;TSAR;Stramenopiles;;	2	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia	2	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;	2	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;	2	False
Eukaryota;TSAR;Rhizaria;;	2	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota	2	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida	2	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Blastocladiomycota	1	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales	1	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Porifera	1	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;	0	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata	0	False
