Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato	Buhi	Buhi	Buhi	Buhi	Buhi
Bacteria;;;;;	262.0	275.5	289.0	321.0	353.0	181.0	625.75	867.0	966.25	985.0	1398.0	1429.5	1507.0	1614.25	1735.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Pedosphaerales	183.0	246.5	310.0	318.5	327.0	101.0	166.25	249.0	350.0	470.0	379.0	415.0	482.5	547.5	576.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;Myxococcales	68.0	113.0	158.0	158.0	158.0	43.0	58.75	77.5	93.0	99.0	296.0	308.75	314.5	330.0	372.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;Oligoflexales	249.0	257.5	266.0	304.5	343.0	52.0	55.75	90.5	132.0	156.0	169.0	169.75	170.0	183.5	224.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Flavobacteriales	865.0	1653.5	2442.0	2780.5	3119.0	975.0	1152.0	1363.5	1625.75	1955.0	448.0	556.75	621.0	690.25	814.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Prasiolales:plas	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	2.75	8.0	1.0	1.0	1.0	1.0	1.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rhizobiales	350.0	510.5	671.0	734.5	798.0	127.0	234.25	292.0	381.25	583.0	402.0	417.0	461.0	503.75	515.0
;;;;;	111.0	182.0	253.0	265.5	278.0	117.0	625.5	888.5	1030.75	1177.0	314.0	392.75	440.0	485.25	558.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas;Sphaeropleales:plas	104.0	104.0	104.0	108.0	112.0	286.0	480.25	566.0	616.25	704.0	1657.0	1947.25	2260.0	2503.0	2584.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Bacilli;Bacillales	37.0	120.5	204.0	351.0	498.0	24.0	27.0	681.0	1879.5	3516.0	9.0	21.0	29.5	36.5	44.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Ignavibacteria;OPB56	19.0	19.5	20.0	22.5	25.0	459.0	483.75	594.0	927.0	1620.0	1088.0	1308.5	1436.0	1524.5	1628.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;Betaproteobacteriales	9017.0	10290.0	11563.0	11725.0	11887.0	3236.0	3533.0	4710.5	6094.75	7012.0	3477.0	3979.5	4693.0	5394.0	5859.0
Bacteria;PVC;Planctomycetes;Planctomycetes_X;Planctomycetacia;Pirellulales	20.0	62.0	104.0	136.5	169.0	277.0	345.25	484.5	631.75	724.0	5440.0	5449.0	5717.0	6016.25	6119.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;	15.0	39.0	63.0	107.5	152.0	17.0	41.75	61.0	78.0	96.0	203.0	203.0	206.0	215.75	236.0
Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas;Euglenida:plas;Euglenophyceae:plas	11.0	31.0	51.0	71.5	92.0	26.0	44.75	87.5	157.75	259.0	1.0	3.25	5.0	7.75	13.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Verrucomicrobiales	194.0	239.0	284.0	386.5	489.0	4.0	5.5	7.0	11.25	21.0	361.0	373.0	389.5	413.75	449.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas;Chlamydomonadales:plas	524.0	618.5	713.0	796.5	880.0	699.0	706.5	753.5	817.75	877.0	819.0	819.0	924.0	1037.5	1063.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Clostridia;Clostridiales	62.0	137.5	213.0	440.5	668.0	95.0	1080.5	1513.0	2223.0	4041.0	10.0	14.5	18.5	37.75	88.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Chitinophagales	1314.0	1410.5	1507.0	1717.0	1927.0	1034.0	1289.75	1485.5	1644.0	1788.0	1927.0	2109.25	2195.5	2221.0	2221.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Chthoniobacterales	35.0	40.0	45.0	60.0	75.0	130.0	136.75	145.5	159.5	182.0	290.0	308.75	329.5	358.25	401.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;	44.0	47.0	50.0	62.0	74.0	18.0	19.5	26.5	34.25	38.0	28.0	32.5	39.0	45.5	50.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;Bdellovibrionales	66.0	68.5	71.0	89.5	108.0	15.0	87.0	125.0	165.75	246.0	47.0	53.75	66.5	81.75	96.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Acidimicrobiia;Microtrichales	293.0	421.0	549.0	771.5	994.0	1066.0	1148.5	1500.0	2175.75	3231.0	1993.0	2443.75	2731.5	3071.25	3678.0
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X;Cyanophyceae;Synechococcales	6645.0	8072.5	9500.0	10283.5	11067.0	3281.0	7046.75	8340.5	9931.75	14590.0	6139.0	6200.5	6267.0	6377.75	6572.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Chlorellales:plas	716.0	986.0	1256.0	1405.0	1554.0	318.0	323.25	459.5	645.25	799.0	16.0	17.5	28.5	44.5	61.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;;	821.0	929.5	1038.0	1526.5	2015.0	40.0	141.25	176.0	227.75	380.0	191.0	200.0	213.5	224.5	226.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Actinobacteria_XX;Frankiales	5158.0	5229.0	5300.0	5633.5	5967.0	4932.0	5073.0	5413.5	6666.0	9543.0	7125.0	8088.75	8567.5	8832.0	9153.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Sphingobacteriales	589.0	660.5	732.0	798.5	865.0	345.0	534.0	615.5	648.0	690.0	438.0	476.25	537.5	621.75	729.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Cytophagales	847.0	1235.0	1623.0	1774.5	1926.0	466.0	480.25	715.5	979.25	1079.0	175.0	181.0	186.5	231.0	354.0
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas;Cryptophyceae:plas;Cryptomonadales:plas	63.0	139.0	215.0	379.5	544.0	347.0	566.0	669.0	808.5	1137.0	5.0	10.25	29.0	56.25	87.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis	63.0	128.0	193.0	197.5	202.0	173.0	267.5	337.0	458.5	709.0	288.0	363.0	410.5	436.5	447.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;	320.0	559.0	798.0	890.0	982.0	150.0	402.0	552.5	627.75	654.0	518.0	572.75	698.5	926.5	1288.0
Eukaryota;;;;;	9.0	15.5	22.0	27.5	33.0	16.0	89.5	128.0	157.75	205.0	81.0	82.5	84.5	96.0	126.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Sphingomonadales	1468.0	1612.0	1756.0	2109.5	2463.0	87.0	267.0	345.0	507.25	940.0	47.0	54.5	61.5	72.0	90.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;Xanthomonadales	15.0	19.0	23.0	36.0	49.0	26.0	30.5	41.0	54.75	69.0	9.0	10.5	13.5	16.5	18.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rhodobacterales	197.0	229.5	262.0	286.0	310.0	60.0	147.0	177.0	235.5	408.0	34.0	41.5	51.5	60.0	63.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Pedinophyceae:plas;Pedinomonadales:plas	1158.0	1361.0	1564.0	2994.5	4425.0	15.0	41.25	93.5	234.25	526.0	1.0	7.0	10.5	12.0	12.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Caulobacterales	1.0	1.0	1.0	4.5	8.0	1.0	16.0	23.0	34.25	62.0	46.0	60.25	65.5	69.0	78.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Acetobacterales	48.0	105.0	162.0	163.0	164.0	91.0	133.0	165.0	205.5	273.0	95.0	96.5	128.0	174.0	219.0
