	W	Reject null hypothesis
Bacteria;PVC;Planctomycetes;Planctomycetes_X;Phycisphaerae;Phycisphaerales	156	True
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Bacillariophyceae:plas;Licmophorales:plas	156	True
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Coscinodiscophyceae:plas;Aulacoseirales:plas	151	True
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;WD260	147	True
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Nephroselmidophyceae:plas;Nephroselmidales:plas	138	False
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Verrucomicrobiales	123	False
Bacteria;PVC;;;;	115	False
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Chrysophyceae:plas;Ochromonadales:plas	113	False
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Actinobacteria_XX;Corynebacteriales	98	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Trebouxiophyceae_X:plas	97	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyta_XX:plas;Chlorophyta_XXX:plas	96	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Chlorellales:plas	92	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas;	89	False
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Ignavibacteria;OPB56	88	False
Bacteria;PVC;Planctomycetes;Planctomycetes_X;;	75	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria;Methylococcales	72	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;SAR11_clade	71	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas;Sphaeropleales:plas	69	False
Bacteria;PVC;Planctomycetes;Planctomycetes_X;Planctomycetacia;Pirellulales	59	False
Bacteria;CCD;Chloroflexi;Chloroflexi_X;Anaerolineae;RBG13549	52	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rickettsiales	45	False
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Cytophagales	44	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Sphingomonadales	43	False
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Xanthophyceae:plas;Xanthophyceae_X:plas	42	False
Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito;Eustigmatophyceae:mito;Eustigmatophyceae_X:mito	39	False
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Chthoniobacterales	38	False
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X;Cyanophyceae;Chroococcales	37	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Pedinophyceae:plas;Pedinomonadales:plas	35	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;	35	False
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Subgroup_6;Unknown_Order	32	False
