Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Baao,Bato,7,999,3.8826980034440695,0.094,0.094
Baao,Buhi,7,999,10.693027309906602,0.029,0.043500000000000004
Bato,Buhi,8,999,5.310521801759853,0.029,0.043500000000000004
