Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Chrysophyceae_Clade-C_X	3344.0	3776.0	4208.0	5722.0	7236.0	1008.0	1008.0	1008.0	1008.0	1008.0
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Chlorella	419.0	548.5	678.0	781.0	884.0	938.0	938.0	938.0	938.0	938.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae;Eocercomonas	7.0	15.5	24.0	24.0	24.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Chromulinospumella	1.0	12.5	24.0	27.0	30.0	13.0	13.0	13.0	13.0	13.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;Pseudodendromonadales_XX	152.0	308.5	465.0	700.0	935.0	367.0	367.0	367.0	367.0	367.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas	1.0	1.0	1.0	21.5	42.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Rhizaria;Cercozoa;Novel-clade-10-12;Tremulida;Tremulidae;Tremula	8.0	11.5	15.0	23.5	32.0	11.0	11.0	11.0	11.0	11.0
Eukaryota;Rhizaria;Cercozoa;;;;	476.0	492.0	508.0	661.0	814.0	146.0	146.0	146.0	146.0	146.0
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Brachionus	1.0	10.0	19.0	80.0	141.0	537.0	537.0	537.0	537.0	537.0
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;	614.0	1095.5	1577.0	2277.5	2978.0	19328.0	19328.0	19328.0	19328.0	19328.0
