	W	Reject null hypothesis
Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Arctodiaptomus	71	True
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Spirofilidae;Pseudouroleptus	70	True
Eukaryota;Archaeplastida;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidales_X;Nephroselmis	70	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;;	70	True
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Filinia	70	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Phacotus	70	True
Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Condylostomatidae;Linostomella	70	True
Eukaryota;Alveolata;Ciliophora;Litostomatea;Rhynchostomatia;Dileptidae;Dileptidae_X	70	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycotina_X;Chytridiomycotina_XX	69	True
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;;	69	True
Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Basal_Cryptophyceae-1;Basal_Cryptophyceae-1_X	69	True
Eukaryota;Archaeplastida;Streptophyta;Klebsormidiophyceae;Klebsormidiophyceae_X;Klebsormidiophyceae_XX;Elakatothrix	69	True
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema	69	True
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;	69	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlorogonium	69	True
Eukaryota;Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX;Teuthophrys	69	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Protodesmus	68	True
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Discostella	68	True
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Dictyosphaerium	68	True
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;;	68	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Clydaea	68	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlorophyceae_X;Chlorophyceae_XX;Treubaria	68	True
Eukaryota;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Sporisorium	68	True
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira	68	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Ankyra	68	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Ankistrodesmus	68	True
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Asplanchna	68	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Golenkinia	68	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Chytriomyces	68	True
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Testudinella	68	True
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Monactinus	68	True
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;	68	True
Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_XX;Stramenopiles_XXX;Stramenopiles_XXXX;Stramenopiles_XXXXX	68	True
Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;Peronosporales;Lagenidium	68	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Rhizidium	68	True
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Chytridiomycetes_X	68	True
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-E;	68	True
