	W	Reject null hypothesis
22349a2591aa4ba7eadba40ed7383522	357	True
9c83c69284e0bf81bc08245a47d0b2aa	357	True
68716f0bae746d1e9bd02d970dccbdc8	357	True
ae6a6b162033e618580e9cadf2581466	357	True
b3654e20872d54bf69fef04b9c9f20d9	357	True
99465389f8b12fc71816254e85c777c1	357	True
04ab6fe6bebe516b130ca5a534438a3f	357	True
4eab6765e65326b5c52a9a1f60fa0ee1	357	True
cab8bb88fda734587f299fc8eaf3bb4e	357	True
a6f6a239a185b9a6a5d6814f3f11c722	357	True
b561464c7b5a3cf54bfd23138e53d1d8	357	True
7205fab2f36154f8eff0f100abeeacf1	357	True
74a1953c66f237316c67e23133908198	357	True
6c98d328f6fd3cf8e299e62b8fe7487c	357	True
a2c8f9c038d6f16c5929a5ea09fa05ac	357	True
3549a330e8da3a4fa88601f578173904	357	True
c388ca1ff21f7411d8b8d21aa0821208	357	True
5650c1c050998e157b422e4ca13fb066	357	True
44e1a85171017aed84b317637e94082d	357	True
6db729de4c2c82285550be8a1c068aab	357	True
3ce900b80c3aec48de78dc90a9593310	357	True
cb2f909e5eb4f8d346b6ec7fa9d9f481	356	True
1181e63a2bfe3f7152dae524a52dec64	356	True
2a29392b81216fc698c0872701f7acfd	356	True
7c36d01d5cbf27963cfaef7bf77607d2	356	True
a6cbf567520b7a1f4de021e79bc200ba	356	True
3c758e4b225e8beea65abaeb8a5ff006	356	True
e04c4148a1bf0d070d1b8c2e8728d75c	356	True
703f2ab2728428dfc846f3edd6a1bea2	356	True
095eb26243a0cf5dda4b21c272a9e757	356	True
c9e14f36109d40a01b922ac5d812d7e7	356	True
23182f8a93d163fb5badf6487c708949	356	True
52479a1959f5cc92561290ce4e51d6b4	356	True
49949fe889b3cbcb9b22e90d3b61c46f	356	True
0ddc6c94f0d598b6eac65851575a5e4e	356	True
0a3857a0a8f107a6567f220df029254a	356	True
fdfd9e2e4c0e1f2d39c17e0ee87c917c	356	True
844703bdb10bf7ddc3d572ea2ffbcd60	356	True
5cb1ae367f04372ee0a8f31bd42d1843	356	True
770d79d7f15b2034fc4ecce17ab8ab52	356	True
4cc8646cabd07edaddb055c45cd34df6	356	True
5b7935f5cacd4eee48edc5ab1f92f48b	356	True
451a74e555f444f334a5779c6eb98807	356	True
949d8d527368cac95283c3610903c2d1	356	True
f34db0969fe2352ff8764baf8f3eaeb9	356	True
6f22f99ed39e1e94a139c1089c7bd474	356	True
eed3c2ca3f1b6e339e9c75107e6a63df	355	True
fce84eb942d654f23f08e33d832d5c74	355	True
578f64d9fc97367ca174a4df41671426	355	True
fd500ba345fda605a52dedac2009d3a4	355	True
132145c445870b4b2d6ed42109301a66	355	True
7be6c2ed322799784df7642ec29ed0c2	355	True
417009cc4bc642743d10b6b0e40e8a0a	355	True
a79dec9e240cb0eb5aa2bf2afdf451fe	355	True
7a8ea669f6c15ea06e5f9a9eff5484c5	355	True
2e9bc25b77f5591f974524099542ac54	355	True
deaeaac23cd5953ff2584cc43ee521ab	355	True
db43c9dcf3417a2a4d36b57f47041fe0	355	True
