Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Baao,Bato,7,999,6.058216653367219,0.052,0.052
Baao,Buhi,7,999,45.15779260120937,0.029,0.043500000000000004
Bato,Buhi,8,999,14.393676330718849,0.029,0.043500000000000004
