Group 1,Group 2,H,p-value,q-value
Baao (n=3),Bato (n=4),4.5,0.033894853524689295,0.05084228028703394
Baao (n=3),Buhi (n=4),4.5,0.033894853524689295,0.05084228028703394
Bato (n=4),Buhi (n=4),3.0,0.08326451666355042,0.08326451666355042
