Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Agri	Agri	Agri	Agri	Agri	Center	Center	Center	Center	Center	Resid	Resid	Resid	Resid	Resid	Tilap	Tilap	Tilap	Tilap	Tilap	Tipal	Tipal	Tipal	Tipal	Tipal	Tribu	Tribu	Tribu	Tribu	Tribu
Eukaryota;TSAR	31831.0	31831.0	31831.0	31831.0	31831.0	23644.0	30591.5	37539.0	39946.0	42353.0	27308.0	30857.0	34406.0	37955.0	41504.0	43888.0	43888.0	43888.0	43888.0	43888.0	30156.0	30156.0	30156.0	30156.0	30156.0	27555.0	30148.5	32742.0	34711.0	36680.0
Eukaryota;Archaeplastida	20404.0	20404.0	20404.0	20404.0	20404.0	12368.0	13027.5	13687.0	21861.5	30036.0	9522.0	15801.0	22080.0	28359.0	34638.0	10150.0	10150.0	10150.0	10150.0	10150.0	13264.0	13264.0	13264.0	13264.0	13264.0	7056.0	12437.5	17819.0	26842.0	35865.0
Eukaryota;Obazoa	3350.0	3350.0	3350.0	3350.0	3350.0	1187.0	5007.0	8827.0	9656.0	10485.0	6817.0	7120.75	7424.5	7728.25	8032.0	6892.0	6892.0	6892.0	6892.0	6892.0	9995.0	9995.0	9995.0	9995.0	9995.0	1653.0	5599.5	9546.0	11701.5	13857.0
Eukaryota;	1134.0	1134.0	1134.0	1134.0	1134.0	669.0	879.0	1089.0	1365.0	1641.0	522.0	746.0	970.0	1194.0	1418.0	2205.0	2205.0	2205.0	2205.0	2205.0	1350.0	1350.0	1350.0	1350.0	1350.0	935.0	1098.5	1262.0	1987.5	2713.0
Eukaryota;Cryptista	2471.0	2471.0	2471.0	2471.0	2471.0	228.0	304.5	381.0	1281.5	2182.0	1448.0	2391.0	3334.0	4277.0	5220.0	1705.0	1705.0	1705.0	1705.0	1705.0	194.0	194.0	194.0	194.0	194.0	372.0	976.5	1581.0	1644.0	1707.0
;	93.0	93.0	93.0	93.0	93.0	32.0	131.0	230.0	234.0	238.0	26.0	87.5	149.0	210.5	272.0	482.0	482.0	482.0	482.0	482.0	324.0	324.0	324.0	324.0	324.0	203.0	209.5	216.0	338.0	460.0
Eukaryota;Haptista	330.0	330.0	330.0	330.0	330.0	18.0	55.5	93.0	94.0	95.0	12.0	30.75	49.5	68.25	87.0	43.0	43.0	43.0	43.0	43.0	56.0	56.0	56.0	56.0	56.0	55.0	77.5	100.0	145.0	190.0
Eukaryota;CRuMs	99.0	99.0	99.0	99.0	99.0	17.0	20.5	24.0	130.5	237.0	33.0	84.5	136.0	187.5	239.0	143.0	143.0	143.0	143.0	143.0	101.0	101.0	101.0	101.0	101.0	32.0	89.5	147.0	213.5	280.0
Eukaryota:plas;Archaeplastida:plas	7.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	8.0	8.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.5	10.0
Eukaryota;Amoebozoa	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	7.0	13.0	1.0	1.0	1.0	1.0	1.0	7.0	7.0	7.0	7.0	7.0	17.0	17.0	17.0	17.0	17.0	1.0	1.0	1.0	1.0	1.0
Eukaryota:nucl;Cryptista:nucl	38.0	38.0	38.0	38.0	38.0	1.0	1.0	1.0	43.0	85.0	3.0	16.0	29.0	42.0	55.0	76.0	76.0	76.0	76.0	76.0	1.0	1.0	1.0	1.0	1.0	3.0	8.0	13.0	44.0	75.0
Eukaryota;Excavata	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0	7.5	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
