# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;;;;	352.0	261.0	288.0	773.0	180.0	984.0	959.0	1397.0	1734.0	1573.0	1439.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae	1834.0	1383.0	1610.0	1513.0	407.0	1534.0	1345.0	4289.0	4041.0	4976.0	2577.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria	561.0	494.0	521.0	622.0	109.0	487.0	335.0	966.0	883.0	725.0	851.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia	7669.0	3930.0	8298.0	5997.0	3548.0	4756.0	4308.0	4376.0	4140.0	5350.0	3509.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas	1403.0	1668.0	761.0	600.0	352.0	798.0	317.0	72.0	38.0	33.0	50.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria	3766.0	2683.0	2452.0	1179.0	1845.0	1384.0	688.0	961.0	1131.0	1175.0	920.0
;;;;	277.0	110.0	252.0	981.0	116.0	1176.0	794.0	460.0	557.0	313.0	418.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas	626.0	990.0	815.0	1534.0	1507.0	1347.0	1042.0	3530.0	2888.0	3664.0	2496.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Bacilli	497.0	36.0	203.0	1333.0	27.0	3535.0	23.0	43.0	24.0	8.0	33.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Ignavibacteria	24.0	19.0	23.0	697.0	1622.0	491.0	458.0	1381.0	1489.0	1627.0	1087.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Gammaproteobacteria	12085.0	9346.0	12205.0	7875.0	3899.0	6285.0	3653.0	4010.0	5797.0	6330.0	4541.0
Bacteria;PVC;Planctomycetes;Planctomycetes_X;Planctomycetacia	225.0	294.0	43.0	770.0	759.0	766.0	1237.0	5977.0	6865.0	6660.0	6068.0
Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas;Euglenida:plas	50.0	10.0	91.0	50.0	258.0	123.0	25.0	3.0	12.0	0.0	5.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Clostridia	667.0	61.0	212.0	1412.0	94.0	4040.0	1616.0	20.0	15.0	87.0	9.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Acidimicrobiia	548.0	993.0	292.0	1823.0	3230.0	1065.0	1175.0	2868.0	3677.0	1992.0	2593.0
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X;Cyanophyceae	9526.0	11114.0	6757.0	11887.0	14658.0	12125.0	11539.0	6589.0	6336.0	6849.0	6465.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;	1037.0	2014.0	820.0	174.0	379.0	176.0	39.0	190.0	225.0	202.0	223.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Actinobacteria_XX	5962.0	6447.0	6422.0	9946.0	5680.0	6176.0	5318.0	8247.0	10103.0	9770.0	9444.0
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas;Cryptophyceae:plas	547.0	62.0	219.0	1145.0	346.0	715.0	649.0	11.0	45.0	4.0	86.0
Eukaryota;;;;	8.0	32.0	21.0	141.0	15.0	204.0	113.0	80.0	82.0	125.0	85.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Pedinophyceae:plas	1157.0	1563.0	4424.0	49.0	525.0	136.0	14.0	11.0	11.0	0.0	8.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea	6.0	13.0	0.0	20.0	85.0	7.0	0.0	0.0	7.0	0.0	5.0
Bacteria;CCD;Chloroflexi;Chloroflexi_X;Chloroflexia	331.0	189.0	298.0	390.0	121.0	335.0	237.0	416.0	357.0	381.0	333.0
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito;Embryophyceae:mito	0.0	0.0	2.0	93.0	53.0	49.0	13.0	0.0	13.0	0.0	0.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Chrysophyceae:plas	501.0	404.0	277.0	11.0	122.0	165.0	8.0	99.0	136.0	42.0	107.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;	17.0	0.0	5.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Bacteria;PANNAM;;;	25.0	31.0	44.0	205.0	50.0	249.0	170.0	184.0	235.0	356.0	15.0
