# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X;Deinococci	0.0	0.0	0.0	10.0	2.0	7.0	0.0	0.0	0.0	13.0	0.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Acidobacteriia	0.0	10.0	8.0	24.0	3.0	36.0	16.0	12.0	34.0	22.0	20.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Mamiellophyceae:plas	120.0	23.0	20.0	135.0	44.0	86.0	69.0	37.0	48.0	26.0	33.0
Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X;Kiritimatiellae	0.0	3.0	0.0	5.0	6.0	21.0	3.0	0.0	0.0	0.0	0.0
Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X;Fusobacteriia	17.0	11.0	10.0	13.0	6.0	29.0	21.0	14.0	11.0	47.0	9.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Subgroup_6	0.0	0.0	9.0	15.0	17.0	17.0	13.0	37.0	48.0	46.0	43.0
Eukaryota:mito;;;;	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	12.0	4.0	5.0
Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito;Eustigmatophyceae:mito	38.0	34.0	24.0	152.0	148.0	243.0	105.0	298.0	231.0	271.0	229.0
Bacteria;Terrabacteria;;;	392.0	155.0	13.0	0.0	0.0	2.0	16.0	284.0	252.0	157.0	219.0
Bacteria;CCD;Chloroflexi;Chloroflexi_X;Anaerolineae	3.0	0.0	0.0	10.0	5.0	10.0	13.0	39.0	27.0	50.0	24.0
Bacteria;FCB;Gemmatimonadetes;Gemmatimonadetes_X;Gemmatimonadetes_XX	120.0	104.0	46.0	107.0	66.0	74.0	64.0	136.0	111.0	127.0	101.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Bacillariophyceae:plas	21.0	0.0	82.0	260.0	0.0	223.0	271.0	391.0	756.0	446.0	408.0
Eukaryota:plas;;;;	0.0	0.0	4.0	0.0	0.0	23.0	3.0	17.0	10.0	9.0	26.0
Eukaryota:plas;Archaeplastida:plas;;;	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;	144.0	194.0	77.0	604.0	47.0	698.0	616.0	3687.0	2701.0	2510.0	3517.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Xanthophyceae:plas	618.0	182.0	325.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Erysipelotrichia	3.0	0.0	0.0	87.0	0.0	100.0	69.0	0.0	0.0	8.0	3.0
Bacteria;PVC;Planctomycetes;Planctomycetes_X;	0.0	0.0	9.0	147.0	14.0	231.0	130.0	696.0	435.0	782.0	447.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Eustigmatophyceae:plas	310.0	194.0	348.0	816.0	803.0	875.0	390.0	843.0	674.0	801.0	522.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Mediophyceae:plas	0.0	0.0	16.0	1710.0	0.0	2154.0	1411.0	396.0	391.0	125.0	301.0
Bacteria;CCD;Patescibacteria;Patescibacteria_X;Microgenomatia	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Negativicutes	18.0	4.0	32.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;PVC;Planctomycetes;Planctomycetes_X;Phycisphaerae	0.0	0.0	0.0	758.0	113.0	1046.0	1047.0	1587.0	1301.0	1726.0	978.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyta_XX:plas	5.0	0.0	5.0	392.0	58.0	357.0	565.0	402.0	306.0	446.0	277.0
Bacteria;Terrabacteria;Armatimonadetes;Armatimonadetes_X;Armatimonadia	118.0	63.0	62.0	20.0	29.0	55.0	7.0	16.0	26.0	45.0	43.0
Eukaryota:plas;TSAR:plas;Alveolata:plas;Dinoflagellata:plas;Dinophyceae:plas	0.0	0.0	0.0	82.0	4.0	43.0	13.0	2.0	0.0	3.0	0.0
Bacteria;FCB;Fibrobacteres;Fibrobacteres_X;Fibrobacteria	6.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;Thermoleophilia	17.0	21.0	0.0	79.0	66.0	113.0	70.0	201.0	175.0	95.0	142.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas;Streptophyta_X:plas;Zygnemophyceae:plas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
Bacteria;Gracilicutes;Dependentiae;Dependentiae_X;Babeliae	7.0	0.0	4.0	12.0	0.0	16.0	0.0	59.0	63.0	63.0	63.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Coscinodiscophyceae:plas	0.0	0.0	0.0	673.0	302.0	1221.0	2060.0	58.0	28.0	26.0	39.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Bacteria;Gracilicutes;Spirochaetes;Spirochaetes_X;Leptospirae	0.0	13.0	0.0	65.0	14.0	17.0	25.0	13.0	15.0	10.0	27.0
Bacteria;PVC;Chlamydiae;Chlamydiae_X;Chlamydiae_XX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Nephroselmidophyceae:plas	0.0	0.0	0.0	266.0	123.0	118.0	99.0	0.0	0.0	0.0	0.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Blastocatellia_(Subgroup_4)	0.0	0.0	0.0	12.0	0.0	19.0	26.0	23.0	28.0	45.0	24.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X;	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;CCD;Patescibacteria;Patescibacteria_X;Saccharimonadia	4.0	0.0	19.0	19.0	4.0	13.0	74.0	0.0	0.0	0.0	0.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;	6.0	0.0	0.0	3.0	0.0	12.0	16.0	27.0	15.0	3.0	15.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Phaeophyceae:plas	14.0	13.0	11.0	2.0	0.0	14.0	5.0	22.0	25.0	7.0	6.0
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas;Glaucophyta_X:plas;Glaucocystophyceae:plas	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;CCD;Chloroflexi;Chloroflexi_X;Dehalococcoidia	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;PVC;;;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	26.0	32.0	31.0
Bacteria;Terrabacteria;Tenericutes;Tenericutes_X;Mollicutes	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
