id	clr	W
;;	0.7195905948338351	3
Bacteria;;	10.254304571218489	10
Bacteria;CCD;Chloroflexi	10.231260069123426	7
Bacteria;CCD;Patescibacteria	10.350888745484468	11
Bacteria;CMS;Cyanobacteria	7.100751663305008	6
Bacteria;DST;Deinococcus_Thermus	0.8423604755940055	0
Bacteria;FCB;Bacteroidetes	7.986423374437415	3
Bacteria;FCB;Fibrobacteres	9.39577993640623	6
Bacteria;FCB;Gemmatimonadetes	3.5869581513762903	6
Bacteria;Gracilicutes;Dependentiae	10.847036475491464	8
Bacteria;Gracilicutes;Fusobacteria	0.5803096024202822	3
Bacteria;Gracilicutes;Spirochaetes	3.341846354371007	2
Bacteria;PANNAM;	1.0206059836856636	0
Bacteria;PANNAM;Acidobacteria	6.322202616439104	1
Bacteria;PANNAM;Proteobacteria	75.24389856255551	10
Bacteria;PVC;	161.87382469450534	34
Bacteria;PVC;Chlamydiae	2.0497763907520152	3
Bacteria;PVC;Kiritimatiellaeota	12.001142856277022	10
Bacteria;PVC;Planctomycetes	35.41645359007453	27
Bacteria;PVC;Verrucomicrobia	23.949067188019995	13
Bacteria;Terrabacteria;	15.695928768065505	18
Bacteria;Terrabacteria;Actinobacteria	2.4557596553353886	6
Bacteria;Terrabacteria;Armatimonadetes	9.642114068182426	6
Bacteria;Terrabacteria;Firmicutes	1.2871168740662235	0
Bacteria;Terrabacteria;Tenericutes	5.589644055392161	4
Eukaryota:mito;;	0.917698507137618	0
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito	12.713159110060849	12
Eukaryota:mito;TSAR:mito;Stramenopiles:mito	29.50127271181348	17
Eukaryota:plas;;	3.290201652136236	1
Eukaryota:plas;Archaeplastida:plas;	0.07661617856681074	3
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas	14.319497580324503	6
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas	4.412753550330071	4
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas	0.773025095460817	0
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas	13.617790723365944	9
Eukaryota:plas;Excavata:plas;Discoba:plas	8.71179595802323	3
Eukaryota:plas;TSAR:plas;Alveolata:plas	15.453370830725268	14
Eukaryota:plas;TSAR:plas;Stramenopiles:plas	5.0899691643043425	7
Eukaryota;;	2.583029579332136	1
Eukaryota;Obazoa;Opisthokonta	0.12241625728909031	1
Eukaryota;TSAR;Alveolata	0.9049359486622014	0
