# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;;;	0.006810354834964981	0.005776381019830028	0.005936186000494682	0.013392238392238392	0.004294712731437297	0.017264975260553744	0.022149852180339984	0.025156213422649596	0.029594483888585474	0.02612696408995781	0.02826057071034388
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X	0.03548349649808459	0.030608179886685554	0.033184928683320965	0.026212751212751212	0.009710822676083222	0.026915113871635612	0.031065225424981524	0.07723335674283759	0.0689684598580011	0.0826495698103179	0.05060979202262417
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X	0.33759625430484075	0.3217289305949009	0.3297468876247011	0.17065142065142064	0.1486924985684291	0.1461908271046075	0.10890151515151515	0.11033079430248681	0.13715182960131075	0.14005248646314322	0.12834109075197864
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X	0.14884107882211817	0.0873981940509915	0.17161348833374557	0.11604296604296604	0.12335369345294904	0.09206232234972102	0.11007945306725794	0.10366808924423315	0.0960711359912616	0.11588545992093811	0.09026100276910387
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas	0.06438880934875982	0.0939270538243626	0.12428889438535741	0.05159390159390159	0.06224947509066616	0.04986489805944486	0.048641906873614194	0.07310968253110763	0.05616807755324959	0.06924559014051755	0.0562461949370569
;;;	0.0053592849127423285	0.0024344900849858357	0.0051941627504328465	0.016995841995841997	0.0027677037602595917	0.020633750921149593	0.018338876570583886	0.008283363045396432	0.009506417258328782	0.005198817393615255	0.008209116439835818
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X	0.025712959021785397	0.006528859773371105	0.010800560639788936	0.05952875952875953	0.004127696125214735	0.14691020107379724	0.053677014042867705	0.06752741613094916	0.04676406335335882	0.043400989934558015	0.06995424104951001
Bacteria;PVC;Planctomycetes;Planctomycetes_X	0.004353209766667957	0.006506728045325779	0.0010718113612004287	0.02901940401940402	0.021139530444741362	0.03584587851352774	0.05575572801182557	0.1487403885977707	0.1467947842708902	0.1522771816762449	0.14715528584614782
Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas	0.0009673799481484347	0.0002213172804532578	0.0018756698821007502	0.0008662508662508662	0.006155754915060126	0.002158121907569218	0.0005774205469327421	5.402193290475933e-05	0.00020480611687602403	0.0	9.819517272530882e-05
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X	0.12628177843129668	0.16512482294617564	0.13849039492126308	0.20526680526680527	0.21416300820767323	0.12903112608344738	0.15158444198078344	0.2037707309167522	0.2381724467504096	0.19694050426867754	0.23918380172430723
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X	0.1843052277212398	0.2459720254957507	0.13927364168521725	0.20594248094248094	0.3497327734300439	0.2127416921079412	0.26651422764227645	0.11865017196981975	0.1081376297105407	0.11375942597083347	0.1269663583338243
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas	0.010583136632743876	0.0013721671388101982	0.004513974771209498	0.019837144837144837	0.00825539225042947	0.012545180194406428	0.014989837398373984	0.00019808042065078423	0.0007680229382850901	6.643856094077002e-05	0.0016889569708753117
Eukaryota;;;	0.00015478079170374957	0.000708215297450425	0.0004328468958694039	0.002442827442827443	0.00035789272761977477	0.003579324139383093	0.002609940872135994	0.001440584877460249	0.0013995084653194976	0.0020762050293990633	0.00166931793633025
Eukaryota;TSAR;Alveolata;Ciliophora	0.00011608559377781217	0.0002877124645892351	0.0	0.0003465003465003465	0.00202805878984539	0.00012281994595922377	0.0	0.0	0.00011947023484434736	0.0	9.819517272530882e-05
Bacteria;CCD;Chloroflexi;Chloroflexi_X	0.006462098053631544	0.004182896600566572	0.0061423035699563035	0.007016632016632017	0.003006298912006108	0.006053268765133172	0.005774205469327421	0.008193326490555165	0.006553795740032769	0.00715875494136797	0.00701113533258705
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito	0.0	0.0	4.122351389232418e-05	0.0016112266112266113	0.0012645543042565375	0.0008597396217145664	0.0003002586844050259	0.0	0.00022187329328235937	0.0	0.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas	0.028440970475563983	0.01755046033994334	0.021827850605985653	0.060204435204435205	0.03023000572628364	0.08183317542197424	0.09610587583148558	0.03306142293771271	0.03456103222282905	0.024083978341029134	0.027455370293996348
Bacteria;PANNAM;;	0.0004836899740742174	0.0006860835694050991	0.000906917305631132	0.0035516285516285517	0.0011929757587325826	0.004368880934835246	0.003926459719142646	0.0033133452181585725	0.004010786455488804	0.005913031923728532	0.00029458551817592647
Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X	0.0	0.0	0.0	0.00017325017325017325	4.77190303493033e-05	0.00012281994595922377	0.0	0.0	0.0	0.00021592532305750257	0.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X	0.0	0.0002213172804532578	0.00035039986808475554	0.0008835758835758836	0.000477190303493033	0.0012632908727234445	0.0012703252032520325	0.0012965263897142239	0.001877389404696887	0.001876889346576753	0.0017085960054203735
Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X	0.0	6.639518413597734e-05	0.0	8.662508662508663e-05	0.00014315709104790992	0.00036845983787767134	6.929046563192905e-05	0.0	0.0	0.0	0.0
Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X	0.0003289091823704678	0.00024344900849858356	0.00020611756946162092	0.00022522522522522523	0.00014315709104790992	0.0005088254904024985	0.00048503325942350335	0.00025210235355554355	0.00018773894046968868	0.0007806530910540477	0.0001767513109055559
Eukaryota:mito;;;	0.0	0.0	0.0	0.0001386001386001386	0.0	0.00022809418535284416	0.0	0.0	0.00020480611687602403	6.643856094077002e-05	9.819517272530882e-05
