	W	Reject null hypothesis
Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia;Vannellida	8	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa;Bryozoa_X	8	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Hexapoda	8	False
Eukaryota;Amoebozoa;;;;	8	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Eunotiales	8	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Saccharomycotina	8	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Phaeothamniophyceae;	8	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;	7	False
Eukaryota;Amoebozoa;Evosea;Evosea_X;Variosea;Variosea_X	7	False
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Euplotia	3	False
Eukaryota;Obazoa;Opisthokonta;Pluriformea;Pluriformea_X;Pluriformea_XX	2	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Polychytriales	2	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Watanabea-Clade:plas	2	False
Eukaryota;Archaeplastida;Glaucophyta;Glaucophyta_X;Glaucocystophyceae;Glaucocystophytes	2	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Raphidophyceae;Raphidophyceae_X	1	False
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Rhynchodia	1	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Spongomonadida	1	False
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_6	1	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Bivalvia	1	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida;Pseudoperkinsidae	1	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae;Xanthophyceae_X	1	False
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;OLIGO4	1	False
Eukaryota;TSAR;Alveolata;Perkinsea;Perkinsea_X;Perkinsea_XX	1	False
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida	1	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Synchromophyceae;Synchromophyceae_X	1	False
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_4	0	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea;Desmothoracida	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Aulacoseirales	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Rhynchostomatia	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Fragilariales	0	False
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Aphelidiomycota;Aphelidiales	0	False
Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X;Collodictyonidae_XX;Collodictyonidae_XXX	0	False
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_X	0	False
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Suessiales	0	False
Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida;Ichthyosphonida_X	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;;	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Synurales	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;;	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia	0	False
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Trebouxiophyceae_X	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales;Pirsoniales_X	0	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae;Zygnemophyceae_X	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Spizellomycetales	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Hydrurales	0	False
Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota;Entomophthoromycotina	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;	0	False
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Pseudophyllomitidae	0	False
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales	0	False
Eukaryota;Obazoa;Opisthokonta;Metazoa;Porifera;Porifera_X	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Achnanthales	0	False
Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_X;Pterocystida;	0	False
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chrysophyceae_env_clade-I	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea;Limnofilida	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_8	0	False
Eukaryota;TSAR;Alveolata;Ciliophora;Prostomatea_1;Prostomatea_1_X	0	False
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Thaumatomonadida	0	False
